,nome,imagem,coordenadas,localidade,informação,data_criacao
73,Ermida de Santo António (Alcoutim),http://commons.wikimedia.org/wiki/Special:FilePath/Alcoutim%20%28Portugal%29%20%2833246438935%29.jpg,Point(-7.471484 37.471455),Alcoutim e Pereiro,http://www.google.com/search?q=Ermida%20de%20Santo%20António%20(Alcoutim),Desconhecida
74,Casa-Museu Egas Moniz,http://commons.wikimedia.org/wiki/Special:FilePath/Casa-Museu%20Egas%20Moniz%20-%20Avanca%20-%20Portugal%20%2831507625933%29.jpg,Point(-8.5892 40.80631667),Avanca,http://www.casamuseuegasmoniz.com/,1968-06-14T00:00:00Z
75,Casa-Oficina António Carneiro,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Museu%20Antonio%20Carneiro%20by%20Henrique%20Matos%2002.jpg,Point(-8.59386944 41.14963611),Bonfim,http://www.cm-porto.pt/cultura/museus-e-arquivos/casa-oficina-antonio-carneiro,2009-01-01T00:00:00Z
76,Casa Colombo,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Colombo%20Columbus%20House%20-%20Vila%20Baleira%20-%20Porto%20Santo%20%28Portugal%29%20%282180443749%29.jpg,Point(-16.335726 33.059417),Porto Santo,http://www.museucolombo-portosanto.com/intro.html,Desconhecida
77,Museu Almeida Moreira,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Museu%20Almeida%20Moreira.jpg,Point(-7.913353 40.65854),Viseu,http://www.google.com/search?q=Museu%20Almeida%20Moreira,Desconhecida
78,Casa de Camilo Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20de%20Camilo.JPG,Point(-8.46370833 41.39686111),Seide,http://www.camilocastelobranco.org/,Desconhecida
79,Casa do Despacho da venerável Ordem Terceira de São Francisco,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Despacho%20Ordem%20S%20Francisco%20%28Porto%29.jpg,Point(-8.61632222 41.141025),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.google.com/search?q=Casa%20do%20Despacho%20da%20venerável%20Ordem%20Terceira%20de%20São%20Francisco,Desconhecida
80,Estação Elevatória a Vapor dos Barbadinhos,http://commons.wikimedia.org/wiki/Special:FilePath/Museu%20da%20%C3%81gua%20-%20Lisboa%20-%20Portugal%20%2839109886662%29.jpg,Point(-9.119542 38.719883),São Vicente,http://www.google.com/search?q=Estação%20Elevatória%20a%20Vapor%20dos%20Barbadinhos,Desconhecida
81,Reitoria da Universidade do Porto,http://commons.wikimedia.org/wiki/Special:FilePath/Reitoria%20Universidade%20%28Porto%29.JPG,Point(-8.6157 41.14655278),"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",http://www.google.com/search?q=Reitoria%20da%20Universidade%20do%20Porto,Desconhecida
82,Madeira Story Centre,http://commons.wikimedia.org/wiki/Special:FilePath/MadeiraStoryCentre1.JPG,Point(-16.9025 32.647777777),Funchal,http://www.madeirastorycentre.com,Desconhecida
83,Madeira Story Centre,http://commons.wikimedia.org/wiki/Special:FilePath/MadeiraStoryCentre1.JPG,Point(-16.9025 32.647777777),Madeira,http://www.madeirastorycentre.com,Desconhecida
84,Madeira Story Centre,http://commons.wikimedia.org/wiki/Special:FilePath/MadeiraStoryCentre1.JPG,Point(-16.9025 32.647777777),Santa Maria Maior,http://www.madeirastorycentre.com,Desconhecida
85,Moinho de Papel de Leiria,http://commons.wikimedia.org/wiki/Special:FilePath/Paper%20museum%20%28Museu%20do%20moinho%20do%20papel%29.JPG,Point(-8.800669444 39.740277777),"Leiria, Pousos, Barreira e Cortes",http://www.google.com/search?q=Moinho%20de%20Papel%20de%20Leiria,Desconhecida
86,"Mosteiro de Jesus, compreendendo o túmulo de Santa Joana",http://commons.wikimedia.org/wiki/Special:FilePath/Mosteiro%20de%20Jesus%20-%20museu%20de%20Aveiro.jpg,Point(-8.65116888 40.63942841),Glória e Vera Cruz,"http://www.google.com/search?q=Mosteiro%20de%20Jesus,%20compreendendo%20o%20túmulo%20de%20Santa%20Joana",Desconhecida
87,Museu Anjos Teixeira,http://commons.wikimedia.org/wiki/Special:FilePath/Statue%20Anges%20Teixeira%20Sintra%201.jpg,Point(-9.387244064 38.796851654),"Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",http://museuvirtual.cm-sintra.pt/mat/,1976-01-01T00:00:00Z
88,Museu António Medeiros e Almeida,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Museu%20Ant%C3%B3nio%20Medeiros%20e%20Almeida.jpg,Point(-9.14911 38.72158),Lisbon,http://www.casa-museumedeirosealmeida.pt,Desconhecida
89,Casa Museu José Régio,http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20do%20Poeta%20Jos%C3%A9%20R%C3%A9gio%20-%20fachada.jpg,Point(-7.429779 39.288734),Sé e São Lourenço,http://www.cm-portalegre.pt/es/atividade-municipal/cultura/museus,Desconhecida
90,Museu Marítimo de Ílhavo,http://commons.wikimedia.org/wiki/Special:FilePath/MuseuMaritimoIlhavo1.JPG,Point(-8.666087 40.604333),Ílhavo (São Salvador),http://www.museumaritimo.cm-ilhavo.pt/,1937-08-08T00:00:00Z
91,Museu Militar de Lisboa,http://commons.wikimedia.org/wiki/Special:FilePath/M%20militar%20lisboa.jpg,Point(-9.124201 38.713195),Santa Maria Maior,http://www.exercito.pt/sites/MusMilLisboa/,1842-01-01T00:00:00Z
92,Museu Monográfico de Conímbriga,http://commons.wikimedia.org/wiki/Special:FilePath/Conimbriga%20museu%20monografico.JPG,Point(-8.490222222 40.098361111),Condeixa-a-Nova,http://www.conimbriga.gov.pt/index.html,Desconhecida
93,Museu Nacional da Imprensa,http://commons.wikimedia.org/wiki/Special:FilePath/Revolutionary%20machinery%20%281142690619%29.jpg,Point(-8.57668333 41.14340833),Campanhã,http://www.museudaimprensa.pt/,Desconhecida
