,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
503,Convento de Santa Maria de Almoster,Point(-8.793883 39.240053),Almoster,http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20de%20Almoster%20-%20Portugal%20%283330964216%29.jpg,70494.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70494
504,Convento de Santa Cruz do Buçaco,Point(-8.37138889 40.37611111),Luso,http://commons.wikimedia.org/wiki/Special:FilePath/Pal%C3%A1cio%20Hotel%20de%20Bu%C3%A7aco%20%2816%29.jpg,,http://www.google.com/search?q=Convento%20de%20Santa%20Cruz%20do%20Buçaco
505,Convento de Santa Clara (Santarém),Point(-8.682007 39.239907),"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)",http://commons.wikimedia.org/wiki/Special:FilePath/20091224-011a%20SantaremConventoSantaClara.JPG,69800.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69800
506,Convento de Santa Clara (Funchal),Point(-16.913103 32.650525),São Pedro,http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20de%20Santa%20Clara%2C%20Funchal%20-%202013-06-01%20-%20DSC03347.jpg,,http://www.google.com/search?q=Convento%20de%20Santa%20Clara%20(Funchal)
507,Convento de Nossa Senhora do Espinheiro (Évora),Point(-7.888237 38.601693),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89vora%202015%2010%2016%203106%20%2823970526515%29.jpg,69783.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69783
508,Convento de Nossa Senhora do Espinheiro (Évora),Point(-7.888237 38.601693),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89vora%202015%2010%2016%203106%20%2823970526515%29.jpg,13949579.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/13949579
509,Convento de Nossa Senhora de Jesus do Sítio,Point(-8.687029 39.233192),"Santarém (Marvila), Santa Iria da Ribeira de Santarém, Santarém (São Salvador) e Santarém (São Nicolau)",http://commons.wikimedia.org/wiki/Special:FilePath/Igreja%20e%20Hospital%20da%20Santa%20Casa%20da%20Miseric%C3%B3rdia%20de%20Santar%C3%A9m.jpg,70662.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70662
510,Convento de Nossa Senhora da Saudação,Point(-8.215708 38.642606),"Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",http://commons.wikimedia.org/wiki/Special:FilePath/Conv.saudacao.jpg,70440.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70440
511,Convento de Nossa Senhora da Saudação,Point(-8.215708 38.642606),"Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",http://commons.wikimedia.org/wiki/Special:FilePath/Conv.saudacao.jpg,6224828.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/6224828
512,Convento de Nossa Senhora da Assunção (Faro),Point(-7.93392 37.012655),Faro (Sé e São Pedro),http://commons.wikimedia.org/wiki/Special:FilePath/Convento%20de%20Nossa%20Senhora%20da%20Assump%C3%A7%C3%A3o%2C%20Faro.jpg,70525.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70525
